‰„«œ;‰«„; ⁄œ«œ;ÕÃ„;«—“‘;œ?—Ê“;«Ê·?‰;¬Œ—?‰ „⁄«„·Â - „ﬁœ«—;¬Œ—?‰ „⁄«„·Â -  €??—;¬Œ—?‰ „⁄«„·Â - œ—’œ;ﬁ?„  Å«?«‰? - „ﬁœ«—;ﬁ?„  Å«?«‰? -  €??—;ﬁ?„  Å«?«‰? - œ—’œ;ò„ —?‰;»?‘ —?‰;EPS;P/E;Œ—?œ -  ⁄œ«œ;Œ—?œ - ÕÃ„;Œ—?œ - ﬁ?„ ;›—Ê‘ - ﬁ?„ ;›—Ê‘ - ÕÃ„;›—Ê‘ -  ⁄œ«œ
ÕÅ —Ê;Õ„· Ê ‰ﬁ· Å —Ê‘Ì„Ì( ”Â«„Ì ⁄«„;971;916004;32101248440;35880;34900;36930;1,050.00;2.93;35330;-550.00;-1.53;34090;36980;106;333.3;7;2976;36900;36900;18688;9
ﬂŒ«ﬂ;’‰«Ì⁄ùŒ«ﬂùçÌ‰Ìù«Ì—«‰ù;746;571085;74659843610;131170;128200;133000;1,830.00;1.40;130730;-440.00;-0.34;128000;135490;4459;29.32;1;8130;132600;132600;471;3
 ”Â9902;«„ Ì«“  ”ÂÌ·«  „”ﬂ‰ «—œÌ»Â‘ 99;190;1995;1358210989;715780;679991;679991;-35,789.00;-5.00;680807;-34,973.00;-4.89;679991;699999;;;0;0;0;679991;56;6
€›«—”;‘Ì— Å«” Ê—Ì“Â Åê«Â ›«—”;2923;7681694;1.04033E+11;14027;14100;13400;-627.00;-4.47;13543;-484.00;-3.45;13331;14230;-207;-65.43;10;9251;13359;13359;6893;7
÷›«—8045;«Œ Ì«—Œ ›«—”-44000-1399/08/06;0;0;0;1;0;1;0;0;1;0;0;0;0;;;1;2;510;0;0;0
 Â—«‰012;„‘«—ﬂ  ‘  Â—«‰012-3„«ÂÂ18%;0;0;0;1000000;0;1000000;0;0;1000000;0;0;0;0;;;1;5850;950000;0;0;0
»„Ì·«; Ê”⁄Â »«“—ê«‰Ì ¬Â‰ Ê›Ê·«œ„Ì·«œ;196;1229901;59774418501;47186;48601;48601;1,415.00;3.00;48601;1,415.00;3.00;48601;48601;771;63.04;352;3216388;48601;48601;1375;3
‘›«—«;Å —Ê‘Ì„Ì ›«—«»Ì;248;1058252;8202511252;7990;7751;7751;-239.00;-2.99;7893;-97.00;-1.21;7751;7751;-284;-27.79;3;68256;7751;7751;4534415;282
À«·Ê‰œ;”—„«ÌÂ ê–«—Ì „”ﬂ‰ «·Ê‰œ;2682;10048717;2.37491E+11;24303;25200;23088;-1,215.00;-5.00;23634;-669.00;-2.75;23088;25200;267;88.52;6;2100;23088;23088;1448176;94
·Œ“—;Å«—”ù Œ“—;74;115836;26884377240;221040;232090;232090;11,050.00;5.00;225970;4,930.00;2.23;232090;232090;4579;49.35;230;619417;232090;232090;1;1
‘“‰ê; ÃÂÌ“‰Ì—ÊÌù“‰ê«‰ù;267;556108;50230011828;91284;93105;89459;-1,825.00;-2.00;90324;-960.00;-1.05;89459;93105;-1176;-76.81;0;0;0;89459;921;7
„œÌ—;’.”.„œÌ—Ì  À—Ê  ’.»«“‰‘” êÌ-”;10781;75553715;7.55537E+11;10000;10000;10000;0;0;10000;0;0;10000;10000;;;962;3966969;10000;0;0;0
’«ÌÅ«143;’ﬂÊﬂ «Ã«—Â ”«ÌÅ«143-3„«ÂÂ18%;0;0;0;5244678;0;5244678;0;0;5244678;0;0;0;0;;;1;114;905000;0;0;0
«Œ“«810;«”‰«œŒ“«‰Â-„10»ÊœÃÂ98-001006;19;12438;9707654201;789828;782000;786488;-3,340.00;-0.42;780484;-9,344.00;-1.18;775021;786488;;;1;3000;775020;789500;2000;1
ﬂ Êﬂ«; Ê·ÌœÌ Ê Œœ„«  ’‰«Ì⁄ ‰”Ê“  Êﬂ«;3588;1868857;3.73089E+11;190861;191318;200404;9,543.00;5.00;199635;8,774.00;4.60;181350;200404;2675;74.63;14;3899;200404;200404;1191;6
«Œ“«813;«”‰«œŒ“«‰Â-„13»ÊœÃÂ98-010219;6;1785;1314173010;735599;735329;739000;3,401.00;0.46;736231;632.00;0.09;735329;739000;;;1;200;733815;739000;12819;1
÷ —«8048;«Œ Ì«—Œ ‘ —«‰-47830-1399/08/11;0;0;0;1;0;1;0;0;1;0;0;0;0;;;1;100;100;0;0;0
÷ŒÊœ7071;«Œ Ì«—Œ ŒÊœ—Ê-9500-1399/07/09;0;0;0;1;0;1;0;0;1;0;0;0;0;;;2;200;1;2221;1;1
ŒÊœ—Ê;«Ì—«‰ù ŒÊœ—Ê;19289;122917835;7.74382E+11;6630;6300;6300;-330.00;-4.98;6300;-330.00;-4.98;6300;6300;-174;-36.21;1;1220;6250;6300;1585040552;9999
 „·Ì705; ”ÂÌ·«  „”ﬂ‰ ». „·Ì-„—œ«œ97;0;0;0;145899;0;145899;0;0;145899;0;0;0;0;;;0;0;0;138605;11;1
„«Â«‰01;„‰›⁄  ÂÊ«ÅÌ„«ÌÌ „«Â«‰ 14011123;0;0;0;890000;979000;890000;0;0;890000;0;0;0;0;;;1;1250;862929;0;0;0
„œ«—«‰;œ«œÂùÅ—œ«“Ìù«Ì—«‰ù;1100;1754985;84744582860;47860;48500;48770;910.00;1.90;48290;430.00;0.90;45900;49980;588;82.13;5;10666;49500;49500;32387;10
 ”Â9804;«„ Ì«“  ”ÂÌ·«  „”ﬂ‰  Ì—98;70;666;433228523;673812;641200;707502;33,690.00;5.00;650493;-23,319.00;-3.46;640122;707502;;;1;160;640122;707502;4;1
›«›“«;›Ê·«œ «›“« ”Å«Â«‰;901;775096;44089559793;56546;56999;56900;354.00;0.63;56883;337.00;0.60;54850;58240;1032;55.12;5;937;57840;57840;10557;4
›Ì—Ê“Â;’‰œÊﬁ ‘«Œ’30 ‘—ﬂ  ›Ì—Ê“Â- ”Â«„;834;293738;62064170020;212600;212020;211280;-1,320.00;-0.62;211290;-1,310.00;-0.62;211060;214790;;;4;356;211080;211080;525;3
 ‘ «œ;’‰«Ì⁄  Ê·ÌœÌ «‘ «œ «Ì—«‰ù;127;510359;7483394017;14236;14663;14663;427.00;3.00;14393;157.00;1.10;14663;14663;-19;-757.53;247;779087;14663;14663;2500;2
œ„«Ê‰œ; Ê·Ìœ ‰Ì—ÊÌ »—ﬁ œ„«Ê‰œ;20308;16969777;1.4455E+12;88320;88000;83910;-4,410.00;-4.99;85181;-3,139.00;-3.55;83904;88000;872;97.68;54;45404;83920;83920;43762;117
