‰„«œ;‰«„; ⁄œ«œ;ÕÃ„;«—“‘;œ?—Ê“;«Ê·?‰;¬Œ—?‰ „⁄«„·Â - „ﬁœ«—;¬Œ—?‰ „⁄«„·Â -  €??—;¬Œ—?‰ „⁄«„·Â - œ—’œ;ﬁ?„  Å«?«‰? - „ﬁœ«—;ﬁ?„  Å«?«‰? -  €??—;ﬁ?„  Å«?«‰? - œ—’œ;ò„ —?‰;»?‘ —?‰;EPS;P/E;Œ—?œ -  ⁄œ«œ;Œ—?œ - ÕÃ„;Œ—?œ - ﬁ?„ ;›—Ê‘ - ﬁ?„ ;›—Ê‘ - ÕÃ„;›—Ê‘ -  ⁄œ«œ
Ê¬Ì‰œ;»«‰ﬂ  ¬Ì‰œÂ;276;7414774;1.45226E+11;19202;19586;19586;384.00;2.00;19586;384.00;2.00;19586;19586;-1755;-11.16;2446;161875997;19586;19586;8800;2
÷ê·8066;«Œ Ì«—Œ ﬂê·-25100-1399/08/21;0;0;0;6153;0;5644;-509.00;-8.27;6153;0;0;0;0;;;1;11;4901;8280;1;1
Ê’‰«;ê—ÊÂù’‰«Ì⁄ù»Â‘Â—«Ì—«‰ù;3377;10956041;1.85735E+11;16290;15720;17100;810.00;4.97;16950;660.00;4.05;15720;17100;1056;16.05;61;133177;17100;17100;7856;11
œ„⁄Ì«—;’‰œÊﬁ ”.  Ê«“‰ „⁄Ì«—-œ;62;1248290;12579516532;10068;10075;10055;-13.00;-0.13;10077;9.00;0.09;10052;10085;;;1;2924;10053;10060;4990;1
Ê‰ÊÌ‰;»«‰ﬂù«ﬁ ’«œ‰ÊÌ‰ù;4638;79452066;5.31534E+11;6380;6690;6690;310.00;4.86;6690;310.00;4.86;6690;6690;120;55.75;3323;66253194;6690;6690;226334;61
ÊŒ«Ê—;»«‰ﬂ Œ«Ê—„Ì«‰Â;674;13310142;1.79021E+11;12810;13450;13450;640.00;5.00;13450;640.00;5.00;13450;13450;624;21.55;1317;20812650;13450;13450;600;2
œ”«‰ﬂÊ;œ«—Ê”«“Ì ”»Õ«‰ «‰ﬂÊ·ÊéÌ;354;2200862;70773119334;30626;32157;32157;1,531.00;5.00;32157;1,531.00;5.00;32157;32157;163;197.28;854;2676767;32157;32157;3587;5
»”ÊÌç;Å«—”ù”ÊÌçù;1925;1472794;97030546690;68190;70000;64790;-3,400.00;-4.99;65880;-2,310.00;-3.39;64790;70000;1618;40.72;7;3227;64790;64790;47386;34
”Ì” „;Â„ﬂ«—«‰ ”Ì” „;926;3055231;96285301160;32720;31310;31090;-1,630.00;-4.98;31510;-1,210.00;-3.70;31090;32750;1447;21.78;3;1609;31090;31090;820;4
÷Å«—8019;«Œ Ì«—Œ ŒÅ«—”-3800-1399/08/18;0;0;0;18332;0;16666;-1,666.00;-9.09;18332;0;0;0;0;;;1;7;16100;17999;2;1
Ê«⁄ »«—;”—„«ÌÂ ê–«—Ì «⁄ »«— «Ì—«‰;678;4620568;48654581040;10030;10530;10530;500.00;4.99;10440;410.00;4.09;10530;10530;387;26.98;544;9534538;10530;10530;9748;5
«—«œ43;„—«»ÕÂ ⁄«„ œÊ· 4-‘.Œ 0205;33;5452577;5.09543E+12;940000;934500;934500;-5,500.00;-0.59;934500;-5,500.00;-0.59;934500;934500;;;0;0;0;934500;20046423;1
Êﬂ«—;»«‰ﬂù ﬂ«—¬›—Ì‰ù;2144;8380119;1.48762E+11;18640;17710;17710;-930.00;-4.99;17750;-890.00;-4.77;17710;18100;398;44.6;4;101000;17710;17710;1497133;78
⁄”‰«”‰ê;”·› ﬂ‰” «‰ —Â ”‰ê ¬Â‰ ”‰«»«œ;10;13;85758154;6551725;6685622;6554532;2,807.00;0.04;6596781;45,056.00;0.69;6554532;6685622;;;2;1752;6554532;6641824;3;1
Ê»«‰ﬂ;”—„«ÌÂ ê–«—Ì ê—ÊÂ  Ê”⁄Â „·Ì;34879;259879222;8.51658E+12;31240;32800;32750;1,510.00;4.83;32770;1,530.00;4.90;31240;32800;1264;25.93;772;1129872;32790;32790;2147260;83
÷ —«8029;«Œ Ì«—Œ ‘ —«‰-12830-1399/08/11;0;0;0;37000;0;37000;0;0;37000;0;0;0;0;;;1;5;20000;40000;1;1
 „·Ì709; ”ÂÌ·«  „”ﬂ‰ ». „·Ì-¬–—97;0;0;0;156622;0;156622;0;0;156622;0;0;0;0;;;1;36;148791;156622;38;2
’«ÌÅ«412;’ﬂÊﬂ „—«»ÕÂ ”«ÌÅ«412-3„«ÂÂ 16%;0;0;0;820001;0;820001;0;0;820001;0;0;0;0;;;1;400;821000;0;0;0
÷ —«8031;«Œ Ì«—Œ ‘ —«‰-14830-1399/08/11;6;6;198000000;33500;30500;33000;-500.00;-1.49;33000;-500.00;-1.49;33000;33000;;;1;3;4010;39900;1;1
÷ŒÊœ7061;«Œ Ì«—Œ ŒÊœ—Ê-4800-1399/07/09;0;0;0;3350;0;3350;0;0;3350;0;0;0;0;;;1;10;2000;0;0;0
›Ì—Ê“Â2;’‰œÊﬁ ‘«Œ’30 ‘—ﬂ  ›Ì—Ê“Â- ”Â«„;10;100000;100000;212600;1;1;-212,599.00;-100.00;1;-212,599.00;-100.00;1;1;;;0;0;0;0;0;0
Ê·Å«—”;·Ì“Ì‰ê Å«—”Ì«‰;20572;1721279;6110540450;3390;3550;3550;160.00;4.72;3410;20.00;0.59;3550;3550;318;10.72;9999;159785775;3550;0;0;0
Ê·»Â„‰;‘—ﬂ  »Â„‰ ·Ì“Ì‰ê;2536;10425468;1.35393E+11;13345;13900;12679;-666.00;-4.99;12987;-358.00;-2.68;12678;13900;537;24.18;9;7252;12679;12679;12763;10
÷Å«”7016;«Œ Ì«—Œ ÊÅ«—”-4200-1399/07/30;64;1074;1699160000;1300;1360;1600;300.00;23.08;1582;282.00;21.69;1360;1999;;;1;2;1531;1900;30;1
